,movie_id,title,tags
30,31.0,판타스틱 4,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction. flying sibling relationship fire marriage proposal radiation dna missile mask transformation friendship playboy superhero based on comic space laboratory explosion scientist super power space station brooklyn bridge fantastic four superhuman strength invisibility elasticity 모험 판타지 액션 SF Chris Evans Michael Chiklis Julian McMahon Jessica Alba Ioan Gruffudd Tim Story"
31,32.0,엘렉트라,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins. martial arts vigilante superhero based on comic female assassin spin off women fight one woman army supernatural power marvel comics vigilante justice 판타지 액션 SF Rob Bowman"
32,33.0,블레이드 III,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed?The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him?the original vampire, Dracula. loss of loved one martial arts fbi vampire fistfight supernatural vampire hunter superhero based on comic martial arts master motorcycle katana sword blade super villain vampire slayer urban gothic marvel comics good versus evil 판타지 공포 액션 Parker Posey Wesley Snipes Kris Kristofferson Ryan Reynolds Jessica Biel Dominic Purcell Paul Michael Levesque David S. Goyer"
33,34.0,스파이더맨 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well... new york city dual identity secret identity love of one's life pizza boy sequel superhero based on comic doctor scientist tentacle death super villain teenage hero teenage life marvel comics 모험 판타지 액션 Sam Raimi"
34,35.0,퍼니셔,"When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family. chain submachine gun undercover smuggling (contraband) twin brother based on comic one man army massacre family reunion pier 드라마 액션 범죄 Will Patton John Travolta Thomas Jane Jonathan Hensleigh"
35,36.0,헐크,"Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry. california san francisco, california monster general gun dna mutation psychology berkeley transformation president superhero based on comic golden gate bridge doctor fear scientist dog desert anger phone military super villain cell superhuman strength repressed memory repression marvel comics good versus evil 액션 SF Jennifer Connelly Eric Bana Sam Elliott Ang Lee"
36,37.0,엑스맨  2,"Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses?Magneto and Mystique?to unhinge Stryker's scheme to exterminate all mutants. mutant superhero based on comic superhuman bigotry discrimination 모험 액션 스릴러 SF Patrick Stewart Hugh Jackman Bryan Singer"
37,38.0,데어데블,A man blinded in a childhood accident fights crime using his superhumanly-elevated remaining senses. blindness and impaired vision narration superhero based on comic daredevil hazardous waste mob hit duringcreditsstinger marvel comics 판타지 액션 스릴러 범죄 SF Ben Affleck Jennifer Garner Ellen Pompeo Jon Favreau Scott Terra Michael Clarke Duncan Colin Farrell Mark Steven Johnson
38,39.0,스파이더맨,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man. new york city loss of loved one adolescence photographer secret identity villain spider bad boss photography hostility superhero based on comic pokies teenage boy teenage love evil super villain goblin taking responsibility marvel comics 판타지 액션 Sam Raimi"
39,40.0,블레이드 II,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires. martial arts katana mutation vampire supernatural vampire hunter superhero based on comic revenge tragic villain lasersight super power reaper sword duel urban gothic marvel comics good versus evil 판타지 공포 액션 스릴러 Thomas Kretschmann Norman Reedus Wesley Snipes Kris Kristofferson Leonor Varela Luke Goss Matt Schulze Guillermo del Toro"
40,41.0,엑스맨,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers. mutant superhero based on comic superhuman 모험 액션 SF Ian McKellen Patrick Stewart Halle Berry Hugh Jackman Famke Janssen James Marsden Bryan Singer"
41,42.0,블레이드,"The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires. martial arts hero vampire supernatural vampire hunter superhero based on comic sword fight revenge rivalry tragic hero one man army martial arts master scientist super power blade secret headquarters escapade deadly master warrior urban gothic marvel comics good versus evil 공포 액션 Udo Kier Wesley Snipes Stephen Dorff Kris Kristofferson N'Bushe Wright Donal Logue Arly Jover Stephen Norrington"
42,43.0,아티스트,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break. movie business hollywood dog mustache hollywoodland silent film marquee terrier movie star flapper silent film star actor 1920s 드라마 코미디 로맨스 John Goodman James Cromwell Jean Dujardin Berenice Bejo Michel Hazanavicius"
43,44.0,디센던트,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron, Matt King takes his daughters on a trip from Oahu to Kauai to confront a young real estate broker, who was having an affair with Elizabeth before her misfortune. infidelity hawaii father-in-law daughter beach house boating accident estate dying mother beautiful girl teenage daughter trustee trust fund wild girl wild child realtor 드라마 코미디 George Clooney Beau Bridges Robert Forster Judy Greer Matthew Lillard Shailene Woodley Alexander Payne"
44,45.0,미드나잇 인 파리,"A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better. paris, france painter detective based on novel or book screenwriter camping diary forbidden love time travel midnight nostalgia versailles sculpture past magic realism moulin rouge wine tasting 판타지 코미디 로맨스 Owen Wilson Michael Sheen Marion Cotillard Alison Pill Kurt Fuller Rachel McAdams Mimi Kennedy Woody Allen"
45,46.0,머니볼,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players. underdog california 1970s baseball sports oakland, california based on a true story job transfer oakland athletics franchise talent manager statistics 1980s 2000s mlb 드라마 Robin Wright Brad Pitt Philip Seymour Hoffman Jonah Hill Chris Pratt Bennett Miller"
46,47.0,트리 오브 라이프,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith. sibling relationship philosophy red hair parent child relationship texas sun telegram tree meteor afterlife space coming of age spirituality dinosaur childhood 1950s brother brother relationship 판타지 드라마 Brad Pitt Sean Penn Fiona Shaw Joanna Going Jessica Chastain Terrence Malick"
47,48.0,워 호스,"Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend. world war i horse farm life execution trapped alcoholic cavalry plowing artillery 드라마 액션 전쟁 Emily Watson David Thewlis Toby Kebbell Benedict Cumberbatch Tom Hiddleston Jeremy Irvine Steven Spielberg"
48,49.0,원더 우먼 1984,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy. dc comics superhero based on comic 1980s action hero dc extended universe 모험 판타지 액션 Gal Gadot Patty Jenkins
49,50.0,샤잠!,"A boy is given the ability to become an adult superhero in times of need with a single magic word. philadelphia, pennsylvania dc comics secret identity magic superhero based on comic wizard superhuman strength aftercreditsstinger duringcreditsstinger christmas dc extended universe flossing 판타지 액션 코미디 David F. Sandberg"
50,51.0,아쿠아맨,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne. dc comics hero atlantis half-brother superhero based on comic royalty shark duringcreditsstinger dc extended universe 모험 판타지 액션 Amber Heard Jason Momoa James Wan"
51,52.0,저스티스 리그,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth. dc comics superhero based on comic super power superhero team aftercreditsstinger duringcreditsstinger dc extended universe 모험 판타지 액션 SF Ben Affleck Henry Cavill Gal Gadot Jason Momoa Ezra Miller Ray Fisher Zack Snyder"
52,53.0,원더 우먼,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict. dc comics hero greek mythology island feminism empowerment world war i strong woman superhero based on comic female protagonist period drama super power heroine woman director female empowerment 1910s dc extended universe 모험 판타지 액션 Chris Pine Gal Gadot Patty Jenkins
53,54.0,수어사이드 스쿼드,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences. dc comics anti hero secret mission villain superhero supervillain dc extended universe 모험 판타지 액션 Will Smith Jared Leto Jai Courtney Margot Robbie David Ayer"
54,55.0,배트맨 대 슈퍼맨: 저스티스의 시작,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. dc comics vigilante superhero based on comic revenge leading man super power cities dc extended universe man vs man leading men 모험 판타지 액션 Zack Snyder"
55,56.0,맨 오브 스틸,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. saving the world dc comics places and planets superhero based on comic alien planet superhuman planet alien invasion super power mysterious force reboot dc extended universe 모험 판타지 액션 SF Michael Shannon Russell Crowe Diane Lane Amy Adams Henry Cavill Zack Snyder"
